,Model,Classifier,Ac,Time
0,DBOW,BernoulliNB(),0.5816485225505443,0.10958194732666016
1,DBOW,LogisticRegression(),0.6687402799377916,1.1165704727172852
2,DBOW,LinearSVC(),0.671850699844479,18.37956714630127
3,DBOW,AdaBoostClassifier(),0.6314152410575428,13.37229061126709
4,DBOW,RidgeClassifier(),0.6734059097978227,0.30150341987609863
5,DBOW,PassiveAggressiveClassifier(),0.5536547433903577,0.2721881866455078
6,DBOW,Perceptron(),0.5552099533437014,0.16249585151672363
7,DMC,BernoulliNB(),0.4354587869362364,0.042610883712768555
8,DMC,LogisticRegression(),0.49300155520995337,0.7924602031707764
9,DMC,LinearSVC(),0.5085536547433903,1.4980459213256836
10,DMC,AdaBoostClassifier(),0.5458786936236392,13.41025686264038
11,DMC,RidgeClassifier(),0.5007776049766719,0.02298426628112793
12,DMC,PassiveAggressiveClassifier(),0.4867807153965785,0.36154699325561523
13,DMC,Perceptron(),0.47900466562986005,0.17535901069641113
14,DMM,BernoulliNB(),0.5738724727838258,0.04225945472717285
15,DMM,LogisticRegression(),0.6220839813374806,1.0201921463012695
16,DMM,LinearSVC(),0.6251944012441679,21.12300729751587
17,DMM,AdaBoostClassifier(),0.5878693623639192,13.336380243301392
18,DMM,RidgeClassifier(),0.6220839813374806,0.01975226402282715
19,DMM,PassiveAggressiveClassifier(),0.5443234836702955,0.22571492195129395
20,DMM,Perceptron(),0.4572317262830482,0.12078499794006348
21,DBOW+DMM,BernoulliNB(),0.5925349922239502,0.07926774024963379
22,DBOW+DMM,LogisticRegression(),0.6687402799377916,3.027514696121216
23,DBOW+DMM,LinearSVC(),0.6671850699844479,33.69614267349243
24,DBOW+DMM,AdaBoostClassifier(),0.5956454121306376,26.676233530044556
25,DBOW+DMM,RidgeClassifier(),0.6656298600311042,0.10866689682006836
26,DBOW+DMM,PassiveAggressiveClassifier(),0.6034214618973561,0.41935110092163086
27,DBOW+DMM,Perceptron(),0.5505443234836703,0.2209620475769043
28,DBOW+DMC,BernoulliNB(),0.5940902021772939,0.07877373695373535
29,DBOW+DMC,LogisticRegression(),0.6765163297045101,5.031818151473999
30,DBOW+DMC,LinearSVC(),0.6749611197511665,26.688721179962158
31,DBOW+DMC,AdaBoostClassifier(),0.6391912908242613,26.68584108352661
32,DBOW+DMC,RidgeClassifier(),0.6702954898911353,0.03434014320373535
33,DBOW+DMC,PassiveAggressiveClassifier(),0.6018662519440124,0.4165618419647217
34,DBOW+DMC,Perceptron(),0.5660964230171073,0.45098066329956055
